code,description,unit,price,quantity
IOC-MT-0089,SS 304 Hex Head Bolt 10mm x 50mm Gr. 8.8,Nos,48,4200
IOC-VL-1122,Valve Gate 2" Class 150 CS Flanged Ends,Nos,12200,45
IOC-PP-3344,Pipe Seamless CS 4" Schedule 40 ASTM A106B,Meters,1520,180
IOC-VL-1123,Valve Ball 1" SS316 Screwed,Nos,3550,90
IOC-FT-5566,Elbow 90 Deg 2 inch Sch80 CS,Nos,820,135
IOC-FT-5567,Flange WNRF 3" 300# SS304,Nos,2550,70
IOC-IN-7788,Gauge Pr 0-10 bar 100mm Dial,Nos,1820,180
IOC-SF-9900,Helmet Safety HDPE Yellow,Nos,310,900
IOC-VL-1124,Valve Check Swing 1.5" CS Cl300,Nos,8600,35
IOC-CM-2233,Oil Lube ISO VG 46,Liters,152,4500
IOC-EL-4455,Cable Armoured 3Cx2.5 Cu,Meters,255,2800
IOC-MT-0090,Nut Hex M10 SS304,Nos,15.5,4200
IOC-MT-0091,Washer Flat M10 SS304,Nos,5.5,4200
IOC-PP-3345,Pipe CS ERW 6" Sch 40,Meters,2220,450
IOC-VL-1125,Valve Globe 2" CS Cl150,Nos,13600,28
IOC-SF-9901,Shoes Safety Leather Sz 8,Pairs,860,450
IOC-IN-7789,Thermocouple Type K 300mm,Nos,2550,45
IOC-FT-5568,Tee Equal 2" CS Sch 40,Nos,660,90
IOC-FT-5569,Reducer Conc 4"x2" CS Sch40,Nos,1220,35
IOC-EL-4456,Motor Ind 5HP 3P 415V,Nos,15200,9
IOC-MT-0092,Stud Bolt M16x100 GrB7 w/ 2 Nuts Gr2H,Nos,122,450
IOC-CM-2234,Toluene Industrial Grade,Liters,86,900
IOC-SF-9902,Gloves Cotton Heavy Duty,Pairs,46,1800
IOC-PP-3346,Tubing SS 1/2 OD x 1.5 thk 316,Meters,460,900
IOC-VL-1126,Valve Butterfly 4" Wafer CI,Nos,5600,50
IOC-VL-1127,Valve Plug 2" Cl150 CS,Nos,14200,18
IOC-IN-7790,Flowmeter Magnetic 4",Nos,45500,4
IOC-EL-4457,MCB 10A 2P 10kA,Nos,355,180
IOC-EL-4458,Light Flood LED 100W IP65,Nos,4550,45
IOC-MT-0093,Bolt Hex M12x60 CS 8.8,Nos,25.5,900
