code,description,unit,price,quantity
ONGC-FAS-001,Hex Bolt M10x50 SS304 Gr8.8,Nos,45,5000
ONGC-VAL-002,Gate Valve 2 inch CS 150# Flanged,Nos,12000,50
ONGC-PIP-003,Seamless Pipe 4" Sch 40 CS ASTM A106 Gr B,Meters,1500,200
ONGC-VAL-004,Ball Valve 1" SS316 Threaded,Nos,3500,100
ONGC-FIT-005,90 Deg Elbow 2" Sch 80 CS,Nos,800,150
ONGC-FIT-006,Weld Neck Flange 3" 300# RF SS304,Nos,2500,80
ONGC-INS-007,Pressure Gauge 0-10 bar 100mm dial,Nos,1800,200
ONGC-SAF-008,Safety Helmet HDPE Yellow color,Nos,300,1000
ONGC-VAL-009,Check Valve 1.5" Swing Type CS 300#,Nos,8500,40
ONGC-CHM-010,Lubricating Oil ISO VG 46,Liters,150,5000
ONGC-ELE-011,3 Core x 2.5 Sq mm Cu Armoured Cable,Meters,250,3000
ONGC-FAS-012,Nut M10 SS304 Hex,Nos,15,5000
ONGC-FAS-013,Plain Washer M10 SS304,Nos,5,5000
ONGC-PIP-014,ERW Pipe 6" Sch 40 CS,Meters,2200,500
ONGC-VAL-015,Globe Valve 2" CS 150#,Nos,13500,30
ONGC-SAF-016,Industrial Safety Shoes Leather Size 8,Pairs,850,500
ONGC-INS-017,Thermocouple K Type 300mm length,Nos,2500,50
ONGC-FIT-018,Tee Equal 2" Sch 40 CS,Nos,650,100
ONGC-FIT-019,Reducer Concentric 4"x2" Sch 40 CS,Nos,1200,40
ONGC-ELE-020,Induction Motor 5HP 3 Phase 415V,Nos,15000,10
ONGC-FAS-021,Stud Bolt M16x100 B7 with 2 Nuts 2H,Nos,120,500
ONGC-CHM-022,Industrial Solvent Toluene,Liters,85,1000
ONGC-SAF-023,Cotton Hand Gloves Heavy Duty,Pairs,45,2000
ONGC-PIP-024,SS Tube 1/2" OD x 1.5mm thk SS316,Meters,450,1000
ONGC-VAL-025,Butterfly Valve 4" Wafer Type CI body,Nos,5500,60
ONGC-VAL-026,Plug Valve 2" Class 150 CS,Nos,14000,20
ONGC-INS-027,Magnetic Flow Meter 4",Nos,45000,5
ONGC-ELE-028,MCB 10A 2 Pole 10kA,Nos,350,200
ONGC-ELE-029,LED Flood Light 100W IP65,Nos,4500,50
ONGC-FAS-030,Hex Bolt M12x60 CS Gr8.8,Nos,25,1000
