Material Code,Material Description,Category,Unit of Measure,Unit Price,Annual Quantity
IOC-MT-0089,SS 304 Hex Head Bolt 10mm x 50mm Gr. 8.8,Fasteners,Nos,48,4200
IOC-MT-0091,Flat Washer 10mm SS 304,Fasteners,Nos,5.5,4200
IOC-MT-0093,Hex Bolt M12x60 CS 8.8,Fasteners,Nos,25.5,900
IOC-VL-1122,Gate Valve CS 2 inch Class 150 RF,Valves,Nos,12200,60
IOC-VL-1123,"Valve Ball 1"" SS316 Screwed",Valves,Nos,3550,90
IOC-PP-3344,"Pipe Seamless CS 4"" Schedule 40 ASTM A106B",Pipes,Meters,1520,180
IOC-PP-3345,"Pipe CS ERW 6"" Sch 40",Pipes,Meters,2220,280
IOC-FT-5567,"Flange WNRF 3"" 300LB SS304",Fittings,Nos,2550,70
IOC-IN-7788,Gauge Pr 0-10 bar 100mm Dial,Instruments,Nos,1820,160
IOC-SF-9900,Helmet Safety HDPE Yellow,Safety,Nos,245,450
IOC-SF-9902,Gloves Cotton Heavy Duty,Safety,Pairs,46,1800
