Material Code,Material Description,Category,Unit of Measure,Unit Price,Annual Quantity
ONGC-FAS-001,Hex Bolt M10x50 SS304 Gr8.8,Fasteners,Nos,45,1000
ONGC-VAL-002,Gate Valve 2 inch CS 150# Flanged,Valves,Nos,12000,50
ONGC-PIP-003,"Seamless Pipe 4"" Sch 40 CS ASTM A106 Gr B",Pipes,Meters,1500,200
ONGC-VAL-004,"Ball Valve 1"" SS316 Threaded",Valves,Nos,3500,100
ONGC-FIT-005,"90 Deg Elbow 2"" Sch 80 CS",Fittings,Nos,800,150
ONGC-FIT-006,"Weld Neck Flange 3"" 300# RF SS304",Fittings,Nos,2500,80
ONGC-INS-007,Pressure Gauge 0-10 bar 100mm dial,Instruments,Nos,1800,200
ONGC-SAF-008,Safety Helmet HDPE Yellow color,Safety,Nos,250,500
ONGC-CHM-009,Turbine Oil ISO VG 46 210L Drum,Chemicals,Drums,28000,30
ONGC-ELE-010,Power Cable 4C x 16 sq mm XLPE Armoured,Electrical,Meters,450,1500
ONGC-FAS-011,Stud Bolt M16x120 B7 with 2 Nuts 2H,Fasteners,Sets,120,800
ONGC-VAL-012,"Check Valve 3"" 150# CS Swing Type",Valves,Nos,8500,40
ONGC-FAS-013,Plain Washer M10 SS304,Fasteners,Nos,5,5000
ONGC-PIP-014,"ERW Pipe 6"" Sch 40 CS",Pipes,Meters,2200,300
ONGC-ELE-028,MCB 10A 2 Pole 10kA,Electrical,Nos,350,200
ONGC-FAS-030,Hex Bolt M12x60 CS Gr8.8,Fasteners,Nos,25,1000
