Material Code,Material Description,Category,Unit of Measure,Unit Price (INR),Annual Quantity
BPCL-INST-PDT-250MB,Diff. Pressure Transmitter 4-20mA HART Communication 0-250 mbar Hastelloy-C Diaphragm Ex-Proof,Instrumentation,Nos,78900,140
BPCL-VAL-BFLY-8150,"Valve Butterfly 8"" 150# Lugged Metal to Metal Seat WCB Body SS316 Disc API 609 Cat B Handwheel / Gear Operated",Valves,Nos,64500,75
BPCL-INST-COR-50K,"Coriolis Mass Flow Meter Size 50mm (2"") Flange 300# SS316L Body Accuracy 0.1% Mass Rate 50 T/hr with Local Display",Instrumentation,Nos,322000,30
BPCL-MAT-LTCS-880,"Carbon Steel Pipe Seamless Low Temp Grade 6 ASTM A333 8"" NB Sch 80 Plain / Beveled",Pipes,Mtr,14180,5800
BPCL-INST-RTD-100D,Pt100 Resistance Temperature Detector Duplex 3 Wire SS316 Sheath L=400mm with Thermowell Flange 1-1/2 Inch 300#,Instrumentation,Nos,12600,210
BPCL-VAL-NDL-05-6M,"Valve Needle 1/2"" NPT Female 6000# Pressure SS316 Construction High Pressure Gauge Isolation",Valves,Nos,4250,780
BPCL-FLG-SPBL-8300,"Figure 8 Spectacle Blind 8"" 300# RF Carbon Steel Plate A516 Gr.70 ASME B16.48",Fittings,Nos,8500,290
BPCL-GSK-RING-R45,RTJ Gasket R45 Octagonal Type Soft Iron Ring Joint to ASME B16.20 High Pressure Service,Fittings,Nos,1880,1100
BPCL-LTG-EXP-200W,Explosion-Proof LED Flood Luminaire 200W Ex d IIC T5 IP66 Heavy Duty Weatherproof Refinery Yard Lighting,Electrical,Nos,34800,390
BPCL-PPE-GAS-4WAY,Four Gas Detector Portable Confined Space Monitor O2/LEL/CO/H2S with Suction Pump & Calibration Kit Ex ia IIC T4,Safety,Nos,56500,135
BPCL-PPE-SCBA-300B,Breathing Apparatus SCBA Set 6.8 Litre Carbon Fibre Cylinder 300 Bar Complete with Harness Mask & Whistle Alarm EN137,Safety,Set,82800,80
BPCL-VAL-CHCK-6300D,"Check Valve Dual Plate Wafer Style 6"" 300# Duplex Steel ASTM A890 Gr 4A / UNS S31803 Spring Loaded API 594",Valves,Nos,52500,95
BPCL-TUB-BOIL-T22,Tube Boiler Seamless Alloy Steel A213 T22 50.8mm OD (2 Inch) x 4.5mm Min Wall Thickness Heat Exchanger Tubing,Pipes,Mtr,3880,4100
BPCL-BRG-BALL-6312,Bearing Deep Groove Ball 6312-2Z/C3 Double Shield 60 mm Shaft Dia Dynamic Load 85kN SKF Equivalent,Mechanical,Nos,3150,550
BPCL-LPG-CAR-CPL-02,High Flow LPG Carousel Filling Gun Electronic Auto-Shutoff 50 bar Viton Seal,LPG,Nos,48500,160
BPCL-TRK-BOT-LD-ARM,"Terminal Bottom Loading Arm 4"" Counterbalanced with API Coupler & Vapor Recovery Hose",Terminal,Nos,340000,24
BPCL-TNK-ALM-IFR-40,Internal Floating Roof (IFR) Full Contact Aluminum Pan Type for 40m Dia Petrol Storage Tank,Storage,Nos,2850000,5
BPCL-MEC-TURB-MTR-06,"Custody Transfer Turbine Flow Meter 6"" Class 300 with Dual Pickoff & Preamplifier for POL",Terminal,Nos,420000,15
BPCL-SAF-FOAM-PROP,Balanced Pressure Foam Proportioner Skid 1000 LPM with Concentrate Tank & Deluge Valve,Safety,Nos,680000,12
BPCL-RETAIL-DISP-MPD,Multi-Product Fuel Dispenser (MPD) 4-Hose Dual Sided with Electronic Volume Totalizer & POS Interface,Retail,Nos,460000,75
